"UAAXK0000","UAAXK0000_ORG","UAA","res","x","y"
1350,330,1360,5000,4655,2820
1050,330,1050,5000,4660,2820
740,250,750,5000,4665,2820
1150,420,1150,5000,4670,2820
1160,330,1160,5000,4675,2820
NA,NA,NA,5000,4810,2820
NA,NA,NA,5000,4815,2820
1270,140,1270,5000,4600,2815
1520,280,1530,5000,4605,2815
1690,560,1690,5000,4630,2815
850,210,850,5000,4635,2815
1680,370,1680,5000,4640,2815
1340,240,1340,5000,4645,2815
1020,180,1020,5000,4650,2815
1380,210,1380,5000,4655,2815
1100,490,1100,5000,4660,2815
1400,260,1410,5000,4665,2815
950,190,950,5000,4670,2815
920,300,920,5000,4675,2815
1520,150,1520,5000,4600,2810
1880,160,1880,5000,4605,2810
1160,370,1160,5000,4630,2810
850,220,850,5000,4635,2810
1170,200,1170,5000,4640,2810
1150,290,1150,5000,4645,2810
1670,110,1670,5000,4650,2810
1420,280,1420,5000,4655,2810
1220,310,1220,5000,4660,2810
1360,410,1370,5000,4665,2810
910,200,910,5000,4670,2810
1150,240,1150,5000,4675,2810
1150,220,1160,5000,4590,2785
1600,240,1600,5000,4595,2785
980,210,980,5000,4740,2785
1200,240,1200,5000,4745,2785
1310,550,1310,5000,4750,2785
620,330,620,5000,4755,2785
1720,1390,1720,5000,4830,2785
1600,380,1600,5000,4590,2780
2190,280,2190,5000,4595,2780
640,410,640,5000,4740,2780
590,220,590,5000,4745,2780
710,440,710,5000,4750,2780
680,300,680,5000,4755,2780
3600,2540,3600,5000,4830,2780
1290,350,1290,5000,4670,2775
1200,430,1200,5000,4675,2775
1640,660,1650,5000,4680,2775
1150,460,1150,5000,4685,2775
1460,690,1460,5000,4690,2775
1630,880,1630,5000,4695,2775
1120,400,1130,5000,4560,2770
1150,370,1150,5000,4565,2770
1570,740,1570,5000,4670,2770
950,430,950,5000,4675,2770
1760,860,1760,5000,4680,2770
1480,580,1480,5000,4685,2770
880,610,880,5000,4690,2770
940,570,950,5000,4695,2770
870,360,870,5000,4550,2765
1400,650,1400,5000,4555,2765
1530,850,1530,5000,4560,2765
1850,460,1850,5000,4565,2765
1060,580,1060,5000,4660,2765
1530,930,1530,5000,4665,2765
1980,1810,1980,5000,4800,2765
1380,610,1380,5000,4805,2765
1550,600,1550,5000,4550,2760
1610,670,1610,5000,4555,2760
